content;level;topic;
Woher kommen Sie?;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
Welche Sprachen sprichst du?;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
Bist du Student?;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
Er heisst Alexander.;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
Sie kommt aus der Türkei.;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
Er spricht sehr gut Deutsch.;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
Das ist ein Stuhl.;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
Ich komme aus Deutschland.;A1.1;Präposition: aus;
Ich trinke Kaffee aus einer grossen Tasse.;A1.1;Präposition: aus;
Ich nehme das Geld aus dem Portemonnaie.;A1.1;Präposition: aus;
Das Hemd ist aus Baumwolle.;A1.1;Präposition: aus;
Woher kommst du?;A1.1;Präposition: aus;
Aus welchem Land kommen Sie?;A1.1;Präposition: aus;
Nimmst du die Milch aus dem Kühlschrank?;A1.1;Präposition: aus;
Ist der Ring aus Gold?;A1.1;Präposition: aus;
Der Stuhl ist aus Holz.;A1.1;Präposition: aus;
Er kommt gerade aus dem Büro.;A1.1;Präposition: aus;
Sie übersetzt einen Text aus dem Englischen.;A1.1;Präposition: aus;
Die Information stammt aus einer sicheren Quelle.;A1.1;Präposition: aus;
Das ist mein Koffer.;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Meine Arbeit macht mir Spass.;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Mein Mann ist Ingenieur.;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Meine Eltern wohnen in Spanien.;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Ist das dein Schlüssel?;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Wie ist deine Adresse?;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Ist das Ihr Auto?;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Wie lautet Ihre Telefonnummer?;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Das ist mein Tisch und das ist dein Stuhl.;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Ist das Ihr Gepäck?;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Mein Computer ist alt, aber dein Computer ist neu.;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Frau Weber, Ihr Taxi wartet.;A1.1;Possessivartikel: mein/meine, dein/deine, Ihr/Ihre;
Wir lernen zusammen Deutsch.;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Wir haben eine schöne Wohnung.;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Ihr sprecht sehr gut Deutsch.;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Ihr seid sehr nett.;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Wo arbeitet er?;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Was macht sie in ihrer Freizeit?;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Habt ihr morgen Zeit?;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Wo wohnen sie?;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Er heisst Thomas und kommt aus Graz.;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Sie liest gerne Bücher.;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Sie (Plural) sind meine Kollegen.;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Wir gehen heute ins Museum, kommt ihr mit?;A1.1;Personalpronomen: er, sie, wir, ihr, sie;
Ich lebe in einer kleinen Stadt.;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Ich habe eine Katze.;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Wir sind aus demselben Land.;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Wir sprechen drei Sprachen.;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Wo leben Ihre Eltern?;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Habt ihr Kinder?;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Sind Sie verheiratet?;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Heisst Ihr Kollege Herr Meier?;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Er lebt seit fünf Jahren in Deutschland.;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Sie hat braune Haare.;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Meine Nachbarn sind sehr laut.;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Die Studenten haben eine Frage.;A1.1;Verbkonjugation: leben, heissen, sprechen, haben, sein;
Ich wohne in der Bahnhofstrasse.;A1.1;Präposition: in;
Ich arbeite in einem grossen Büro.;A1.1;Präposition: in;
In meiner Freizeit lese ich viel.;A1.1;Präposition: in;
Ich bin in fünf Minuten fertig.;A1.1;Präposition: in;
Wohnst du in einem Haus oder in einer Wohnung?;A1.1;Präposition: in;
In welchem Stockwerk ist das Büro?;A1.1;Präposition: in;
Was ist in deinem Rucksack?;A1.1;Präposition: in;
Sind Sie in Eile?;A1.1;Präposition: in;
Er ist im (in dem) Park.;A1.1;Präposition: in;
Der Schlüssel steckt in der Tür.;A1.1;Präposition: in;
In Deutschland gibt es viele schöne Städte.;A1.1;Präposition: in;
Das Konzert findet in der Stadthalle statt.;A1.1;Präposition: in;
Kommen Sie aus der Schweiz?;A1.1;Ja/Nein-Fragesatz;
Sprechen Sie Englisch?;A1.1;Ja/Nein-Fragesatz;
Wohnst du in Hamburg?;A1.1;Ja/Nein-Fragesatz;
Ist das Ihr Platz?;A1.1;Ja/Nein-Fragesatz;
Haben Sie einen Moment Zeit?;A1.1;Ja/Nein-Fragesatz;
Lernst du gern Deutsch?;A1.1;Ja/Nein-Fragesatz;
Arbeitet Ihr Mann in dieser Firma?;A1.1;Ja/Nein-Fragesatz;
Ist die Antwort richtig?;A1.1;Ja/Nein-Fragesatz;
Sind die Geschäfte heute geöffnet?;A1.1;Ja/Nein-Fragesatz;
Gehen wir heute Abend ins Kino?;A1.1;Ja/Nein-Fragesatz;
Kann ich Ihnen helfen?;A1.1;Ja/Nein-Fragesatz;
Schmeckt dir das Essen?;A1.1;Ja/Nein-Fragesatz;
Ich bin Lehrerin von Beruf.;A1.1;Nullartikel;
Ich trinke morgens immer Kaffee.;A1.1;Nullartikel;
Ich habe Hunger und Durst.;A1.1;Nullartikel;
In meiner Freizeit spiele ich Klavier.;A1.1;Nullartikel;
Sprechen Sie Deutsch?;A1.1;Nullartikel;
Fahren Sie Auto?;A1.1;Nullartikel;
Haben Sie Zeit?;A1.1;Nullartikel;
Ist er Arzt?;A1.1;Nullartikel;
Geduld ist eine Tugend.;A1.1;Nullartikel;
Er lernt seit einem Jahr Chinesisch.;A1.1;Nullartikel;
Sie isst gern Schokolade.;A1.1;Nullartikel;
Holz ist ein natürliches Material.;A1.1;Nullartikel;
Ich lese gerade ein spannendes Buch.;A1.1;Indefiniter Artikel: ein, eine;
Ich brauche einen neuen Computer.;A1.1;Indefiniter Artikel: ein, eine;
Ich möchte eine Tasse Tee bestellen.;A1.1;Indefiniter Artikel: ein, eine;
Ich habe eine Idee.;A1.1;Indefiniter Artikel: ein, eine;
Haben Sie einen Stift für mich?;A1.1;Indefiniter Artikel: ein, eine;
Ist das eine gute Frage?;A1.1;Indefiniter Artikel: ein, eine;
Gibt es hier in der Nähe ein Restaurant?;A1.1;Indefiniter Artikel: ein, eine;
Möchtest du ein Glas Wasser?;A1.1;Indefiniter Artikel: ein, eine;
Das ist ein Tisch.;A1.1;Indefiniter Artikel: ein, eine;
Sie hat einen Hund und eine Katze.;A1.1;Indefiniter Artikel: ein, eine;
Ein Freund von mir arbeitet bei der Post.;A1.1;Indefiniter Artikel: ein, eine;
Er kauft ein Geschenk für seine Frau.;A1.1;Indefiniter Artikel: ein, eine;
Ich habe heute keine Zeit.;A1.1;Negativartikel: kein, keine;
Ich trinke keinen Kaffee nach 16 Uhr.;A1.1;Negativartikel: kein, keine;
Ich habe leider kein Geld dabei.;A1.1;Negativartikel: kein, keine;
Ich spreche keine Japanisch.;A1.1;Negativartikel: kein, keine;
Haben Sie keine Fragen?;A1.1;Negativartikel: kein, keine;
Isst du kein Fleisch?;A1.1;Negativartikel: kein, keine;
Warum hast du keine Jacke an?;A1.1;Negativartikel: kein, keine;
Gibt es hier keinen Parkplatz?;A1.1;Negativartikel: kein, keine;
Das ist kein Problem.;A1.1;Negativartikel: kein, keine;
Er hat keine Geschwister.;A1.1;Negativartikel: kein, keine;
Wir haben keine Milch mehr.;A1.1;Negativartikel: kein, keine;
Auf dem Tisch liegt kein Stift.;A1.1;Negativartikel: kein, keine;
Ein Apfel ist gesund. Zwei Äpfel sind auch gesund.;A1.1;Pluralbildung;
Das ist ein Stuhl. Das sind vier Stühle.;A1.1;Pluralbildung;
Die Frau liest. Die Frauen unterhalten sich.;A1.1;Pluralbildung;
Der Mann arbeitet im Garten. Die Männer spielen Fussball.;A1.1;Pluralbildung;
Das Kind spielt. Die Kinder lernen.;A1.1;Pluralbildung;
Ich kaufe ein Buch. Ich kaufe viele Bücher.;A1.1;Pluralbildung;
Die Tomate ist rot. Die Tomaten sind auch rot.;A1.1;Pluralbildung;
Das ist ein Haus. Das sind moderne Häuser.;A1.1;Pluralbildung;
Der Bus kommt. Die Busse sind pünktlich.;A1.1;Pluralbildung;
Die Lampe ist an. Die Lampen sind aus.;A1.1;Pluralbildung;
Mein Kollege ist nett. Meine Kollegen sind auch nett.;A1.1;Pluralbildung;
Das Land ist gross. Die Länder sind vielfältig.;A1.1;Pluralbildung;
Ich möchte einen Kaffee, bitte.;A1.1;Verbkonjugation: möchte-;
Ich möchte Sie etwas fragen.;A1.1;Verbkonjugation: möchte-;
Wir möchten am Fenster sitzen.;A1.1;Verbkonjugation: möchte-;
Ich möchte dieses Wochenende meine Familie besuchen.;A1.1;Verbkonjugation: möchte-;
Möchten Sie etwas trinken?;A1.1;Verbkonjugation: möchte-;
Was möchtest du zum Geburtstag?;A1.1;Verbkonjugation: möchte-;
Möchtet ihr mit ins Kino kommen?;A1.1;Verbkonjugation: möchte-;
Möchten Sie Zucker in Ihren Tee?;A1.1;Verbkonjugation: möchte-;
Er möchte Pilot werden.;A1.1;Verbkonjugation: möchte-;
Sie möchte ein neues Auto kaufen.;A1.1;Verbkonjugation: möchte-;
Die Kinder möchten ein Eis essen.;A1.1;Verbkonjugation: möchte-;
Peter möchte nach der Arbeit nach Hause gehen.;A1.1;Verbkonjugation: möchte-;
Ich nehme den Bus zur Arbeit.;A1.1;Definiter Artikel: der, das, die;
Ich sehe den Mann dort drüben.;A1.1;Definiter Artikel: der, das, die;
Ich stelle die Blumen auf den Tisch.;A1.1;Definiter Artikel: der, das, die;
Ich öffne das Fenster.;A1.1;Definiter Artikel: der, das, die;
Wo ist der Bahnhof?;A1.1;Definiter Artikel: der, das, die;
Wie gefällt dir das Buch?;A1.1;Definiter Artikel: der, das, die;
Findest du die Tasche schön?;A1.1;Definiter Artikel: der, das, die;
Wo finde ich die Personalabteilung?;A1.1;Definiter Artikel: der, das, die;
Der Hund schläft im Korb.;A1.1;Definiter Artikel: der, das, die;
Das Auto gehört meinem Bruder.;A1.1;Definiter Artikel: der, das, die;
Die Sonne scheint.;A1.1;Definiter Artikel: der, das, die;
Der Lehrer erklärt die Grammatik.;A1.1;Definiter Artikel: der, das, die;
Ich warte hier auf dich.;A1.1;Lokale Adverbien: hier, dort;
Mein Büro ist hier im zweiten Stock.;A1.1;Lokale Adverbien: hier, dort;
Von hier aus hat man eine gute Aussicht.;A1.1;Lokale Adverbien: hier, dort;
Ich bin nicht von hier.;A1.1;Lokale Adverbien: hier, dort;
Ist hier noch ein Platz frei?;A1.1;Lokale Adverbien: hier, dort;
Wer sitzt dort am Fenster?;A1.1;Lokale Adverbien: hier, dort;
Können Sie das bitte hier unterschreiben?;A1.1;Lokale Adverbien: hier, dort;
Was macht die Katze dort auf dem Dach?;A1.1;Lokale Adverbien: hier, dort;
Hier ist der Eingang und dort ist der Ausgang.;A1.1;Lokale Adverbien: hier, dort;
Das Restaurant ist nicht hier, es ist dort drüben.;A1.1;Lokale Adverbien: hier, dort;
Stell die Kiste bitte dort in die Ecke.;A1.1;Lokale Adverbien: hier, dort;
Dort hinten sehen Sie schon den Bahnhof.;A1.1;Lokale Adverbien: hier, dort;
Ich bin heute sehr glücklich.;A1.1;Prädikatives Adjektiv;
Meine Wohnung ist ziemlich klein.;A1.1;Prädikatives Adjektiv;
Mein Kaffee ist noch heiss.;A1.1;Prädikatives Adjektiv;
Ich finde die deutsche Sprache schwierig.;A1.1;Prädikatives Adjektiv;
Bist du müde?;A1.1;Prädikatives Adjektiv;
Ist der Film interessant?;A1.1;Prädikatives Adjektiv;
Warum bist du so traurig?;A1.1;Prädikatives Adjektiv;
Ist deine neue Arbeit anstrengend?;A1.1;Prädikatives Adjektiv;
Das Wetter ist heute wunderschön.;A1.1;Prädikatives Adjektiv;
Die Strassen sind leer.;A1.1;Prädikatives Adjektiv;
Sein neues Auto ist sehr schnell.;A1.1;Prädikatives Adjektiv;
Die Suppe schmeckt salzig.;A1.1;Prädikatives Adjektiv;
Er ist mein Bruder. Er wohnt in München.;A1.1;Personalpronomen: er, es, sie;
Er spricht fliessend Spanisch.;A1.1;Personalpronomen: er, es, sie;
Das ist meine Schwester. Sie ist Ärztin.;A1.1;Personalpronomen: er, es, sie;
Sie hat am Freitag einen wichtigen Termin.;A1.1;Personalpronomen: er, es, sie;
Das ist mein Handy. Es ist ganz neu.;A1.1;Personalpronomen: er, es, sie;
Wo ist mein Buch? Es liegt auf dem Tisch.;A1.1;Personalpronomen: er, es, sie;
Das Wetter ist schön. Es ist warm und sonnig.;A1.1;Personalpronomen: er, es, sie;
Das Baby weint. Es hat wahrscheinlich Hunger.;A1.1;Personalpronomen: er, es, sie;
Ich habe einen neuen Kollegen. Er ist sehr sympathisch.;A1.1;Personalpronomen: er, es, sie;
Ich sehe meine Nachbarin. Sie arbeitet im Garten.;A1.1;Personalpronomen: er, es, sie;
Das Auto ist kaputt. Es muss in die Werkstatt.;A1.1;Personalpronomen: er, es, sie;
Wo ist die Katze? Sie schläft auf dem Sofa.;A1.1;Personalpronomen: er, es, sie;
Ich verstehe die Frage nicht.;A1.1;Negation: nicht;
Ich arbeite heute nicht.;A1.1;Negation: nicht;
Ich mag Spinat nicht.;A1.1;Negation: nicht;
Ich bin mit dem Vorschlag nicht einverstanden.;A1.1;Negation: nicht;
Kommst du nicht mit ins Schwimmbad?;A1.1;Negation: nicht;
Ist das nicht Ihr Mantel?;A1.1;Negation: nicht;
Warum antwortest du nicht?;A1.1;Negation: nicht;
Findest du das nicht auch komisch?;A1.1;Negation: nicht;
Das ist nicht teuer.;A1.1;Negation: nicht;
Der Zug ist nicht pünktlich.;A1.1;Negation: nicht;
Diese Aufgabe ist nicht einfach.;A1.1;Negation: nicht;
Bitte nicht stören.;A1.1;Negation: nicht;
Ich lerne Deutsch. Das Lernen macht Spass.;A1.1;Wortbildung Nomen;
Er fährt nach Berlin. Die Fahrt dauert drei Stunden.;A1.1;Wortbildung Nomen;
Sie wohnt im Zentrum. Ihre Wohnung ist gross.;A1.1;Wortbildung Nomen;
Wir essen um 18 Uhr. Das Essen ist lecker.;A1.1;Wortbildung Nomen;
Er arbeitet bei Siemens. Die Arbeit ist interessant.;A1.1;Wortbildung Nomen;
Sie reist sehr gern. Ihre nächste Reise geht nach Japan.;A1.1;Wortbildung Nomen;
Ich laufe jeden Morgen. Das Laufen hält mich fit.;A1.1;Wortbildung Nomen;
Er besucht seine Eltern. Der Besuch dauert nur kurz.;A1.1;Wortbildung Nomen;
Der Kurs fängt an. Der Anfang ist immer schwer.;A1.1;Wortbildung Nomen;
Das Geschäft öffnet um 9 Uhr. Die Öffnung ist pünktlich.;A1.1;Wortbildung Nomen;
Er spricht gut Englisch. Seine Sprache ist flüssig.;A1.1;Wortbildung Nomen;
Der Film endet um 22 Uhr. Das Ende ist überraschend.;A1.1;Wortbildung Nomen;
Ich stehe jeden Tag um 6 Uhr auf.;A1.1;Trennbare Verben im Satz;
Ich kaufe im Supermarkt ein.;A1.1;Trennbare Verben im Satz;
Ich rufe dich später an.;A1.1;Trennbare Verben im Satz;
Ich mache das Fenster zu.;A1.1;Trennbare Verben im Satz;
Wann fängt der Film an?;A1.1;Trennbare Verben im Satz;
Kommst du am Samstag mit?;A1.1;Trennbare Verben im Satz;
Holst du mich vom Bahnhof ab?;A1.1;Trennbare Verben im Satz;
Warum siehst du so oft fern?;A1.1;Trennbare Verben im Satz;
Der Zug nach Hamburg fährt um 10:30 Uhr ab.;A1.1;Trennbare Verben im Satz;
Sie lädt ihre Freunde zum Essen ein.;A1.1;Trennbare Verben im Satz;
Er zieht eine neue Jacke an.;A1.1;Trennbare Verben im Satz;
Der Lehrer liest den Text vor.;A1.1;Trennbare Verben im Satz;
Ich arbeite von 9 bis 17 Uhr.;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Ich schlafe am Wochenende gerne lange.;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Ich sehe nicht oft fern.;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Ich esse am liebsten Pizza.;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Wann fängt der Unterricht an?;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Was isst du heute zu Mittag?;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Arbeitest du am Wochenende?;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Schläfst du gut?;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Er arbeitet als Kellner.;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Der Film fängt um 20 Uhr an.;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Sie isst einen Salat.;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Das Baby schläft im Kinderwagen.;A1.1;Verbkonjugation: fernsehen, arbeiten, essen, anfangen, schlafen;
Ich habe am Montag einen Arzttermin.;A1.1;Präpositionen: am, um, von … bis;
Ich arbeite von Montag bis Freitag.;A1.1;Präpositionen: am, um, von … bis;
Ich stehe um 6:30 Uhr auf.;A1.1;Präpositionen: am, um, von … bis;
Am Abend lese ich gerne ein Buch.;A1.1;Präpositionen: am, um, von … bis;
Um wie viel Uhr treffen wir uns?;A1.1;Präpositionen: am, um, von … bis;
Wann hast du am Nachmittag Zeit?;A1.1;Präpositionen: am, um, von … bis;
Von wann bis wann ist das Museum geöffnet?;A1.1;Präpositionen: am, um, von … bis;
Hat er am Sonntag Geburtstag?;A1.1;Präpositionen: am, um, von … bis;
Das Geschäft ist von 9 Uhr bis 18 Uhr geöffnet.;A1.1;Präpositionen: am, um, von … bis;
Der Zug fährt um 15:02 Uhr ab.;A1.1;Präpositionen: am, um, von … bis;
Am Wochenende fahre ich zu meinen Eltern.;A1.1;Präpositionen: am, um, von … bis;
Der Deutschkurs dauert von Januar bis März.;A1.1;Präpositionen: am, um, von … bis;
Ich lerne jeden Tag Deutsch.;A1.1;Verbposition im Satz;
Morgen gehe ich ins Fitnessstudio.;A1.1;Verbposition im Satz;
Wir fahren am Wochenende nach Berlin.;A1.1;Verbposition im Satz;
Er arbeitet seit drei Jahren in dieser Firma.;A1.1;Verbposition im Satz;
Wo wohnen Sie?;A1.1;Verbposition im Satz;
Wann beginnt der Film?;A1.1;Verbposition im Satz;
Was machst du heute Abend?;A1.1;Verbposition im Satz;
Wie kommen Sie zur Arbeit?;A1.1;Verbposition im Satz;
Kommst du aus Italien?;A1.1;Verbposition im Satz;
Sprichst du gut Englisch?;A1.1;Verbposition im Satz;
Hast du meine E-Mail bekommen?;A1.1;Verbposition im Satz;
Wohnen deine Eltern auch hier?;A1.1;Verbposition im Satz;
Ich habe einen Hund.;A1.1;Akkusativ;
Ich lese einen interessanten Roman.;A1.1;Akkusativ;
Ich brauche einen neuen Regenschirm.;A1.1;Akkusativ;
Ich möchte einen Kaffee bestellen.;A1.1;Akkusativ;
Hast du einen Moment Zeit für mich?;A1.1;Akkusativ;
Wen rufst du an?;A1.1;Akkusativ;
Für wen kaufst du die Blumen?;A1.1;Akkusativ;
Welchen Film möchtest du sehen?;A1.1;Akkusativ;
Er kauft den Tisch für die neue Wohnung.;A1.1;Akkusativ;
Sie isst einen Apfel.;A1.1;Akkusativ;
Der Kellner bringt die Rechnung.;A1.1;Akkusativ;
Das Kind bekommt ein Geschenk.;A1.1;Akkusativ;
Kommst du aus der Türkei? Nein, ich komme aus dem Iran.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Sprichst du kein Französisch? Doch, ich spreche ein bisschen Französisch.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Ist das deine Jacke? Ja, das ist meine Jacke.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Hast du keinen Hunger? Doch, ich habe grossen Hunger.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Wohnst du nicht in Berlin? Doch, ich wohne in Berlin.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Ist Herr Klein nicht da? Nein, er ist heute im Urlaub.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Bist du müde? Ja, ich bin sehr müde.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Hast du die E-Mail nicht bekommen? Doch, ich habe sie gerade gelesen.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Können Sie mir helfen? Ja, natürlich.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Ist das Essen nicht gut? Doch, es schmeckt sehr gut.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Warst du schon einmal in Paris? Nein, leider noch nicht.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Arbeitest du nicht gerne hier? Doch, die Arbeit gefällt mir sehr gut.;A1.1;Ja/Nein-Frage und Antwort: ja, nein, doch;
Ich nehme den Zug um 8 Uhr.;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Ich lese gerne Krimis.;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Ich treffe mich heute mit einer Freundin.;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Ich fahre am liebsten mit dem Fahrrad.;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Nimmst du Zucker in den Kaffee?;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Was liest du gerade?;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Wen triffst du heute Abend?;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Fährst du oft mit dem Auto?;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Er nimmt den Bus zur Universität.;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Sie liest ihrem Sohn eine Geschichte vor.;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Der Manager trifft einen wichtigen Kunden.;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Der Zug fährt nach München.;A1.1;Verbkonjugation: nehmen, lesen, treffen, fahren;
Ich kann sehr gut schwimmen.;A1.1;Modalverben: können, wollen;
Ich will am Wochenende schlafen.;A1.1;Modalverben: können, wollen;
Wir wollen nächstes Jahr nach Spanien reisen.;A1.1;Modalverben: können, wollen;
Ich kann dir bei den Hausaufgaben helfen.;A1.1;Modalverben: können, wollen;
Kannst du mir bitte das Salz geben?;A1.1;Modalverben: können, wollen;
Was willst du heute Abend essen?;A1.1;Modalverben: können, wollen;
Können Sie das bitte wiederholen?;A1.1;Modalverben: können, wollen;
Wohin wollt ihr im Urlaub fahren?;A1.1;Modalverben: können, wollen;
Er kann drei Sprachen sprechen.;A1.1;Modalverben: können, wollen;
Sie will Medizin studieren.;A1.1;Modalverben: können, wollen;
Man kann hier nicht parken.;A1.1;Modalverben: können, wollen;
Die Kinder wollen nicht ins Bett gehen.;A1.1;Modalverben: können, wollen;
Ich muss heute Abend einkaufen.;A1.1;Satzklammer;
Wann fängt der Unterricht an?;A1.1;Satzklammer;
Wir wollen am Wochenende meine Eltern besuchen.;A1.1;Satzklammer;
Er steht jeden Morgen um sieben Uhr auf.;A1.1;Satzklammer;
Sie kann sehr gut Klavier spielen.;A1.1;Satzklammer;
Rufst du mich morgen an?;A1.1;Satzklammer;
Der Zug kommt in wenigen Minuten an.;A1.1;Satzklammer;
Ich möchte Sie zu meiner Party einladen.;A1.1;Satzklammer;
Er hat vergessen, das Fenster zuzumachen.;A1.1;Satzklammer;
